Messing Around to Find Out|Unrestrained exploration can be a valuable learning opportunity
Privilege Violations Need Stricter Punishments|Lack of punishment incentivizes violating rules
Why Are Most of My Thoughts Posts Advice-Flavored?|A critical look at the why behind some essays
Nobody Cares|Do things for yourself, not others
Modern Life is War|Ways of life are being attacked and resistance is necessary
Priorities|A hard truth, a feeling of freedom, and a lamentation
Merit-Based Barriers to Entry|Your skill level must be this high to ride
Distractions|Definitions, common examples, elimination, prevention
Commitment Issues|The longer a commitment goes unfulfilled, the less likely it is to become fulfilled
Creating and Developing|Fulfillment, balance, suggestions and considerations
Against SEO|SEO isn't necessary if the content is good
Consider Others' Cost Tolerances|Just because you won't, doesn't mean they won't
Create an Environment of Convenience|Personal convenience makes everything better
Problems with Livestreaming|Personal issues I have with livestreaming and its culture
Empty|Empty words and the cost of betterment
Social Defection|Rules separate us from the animals
Life Philosophies|Running list of life philosophies I abide by
Climbing the Hill of Experiments|A better anything can be achieved with simple, low-cost tests
The Airline Smell Tax|Passengers must smell not-bad to fly for no extra charge
Misaligned Incentives in Service-Based Industries|Holding clients hostage without realizing it
Environment I: Ambition|Success by osmosis
Peters Hide Amongst Us and Must Be Exposed|It's not that they got there, it's that they stay there
AI-Generated Music for Learning|Catchy tunes are easy to remember
Conversation Visualizer|Voice to text to image to reflection
Concert Voting|Crowdsourcing playlists for maximum fan satisfaction
Community Trust Tests|Simple tests to reveal a lot about a place
House of Horror Movies|Prove those movie characters are idiots by beating the villain
Personal Convenience Drones|Freeing up hands and minds for more important things
Scenic Routes in Map Apps|Taking the longer way for fun
Social Inertia|Present interactions influence all future interactions
Beginner's Blindness|Resolution and appreciation are lost when limits are reached
Deprivation for Satisfaction|Depriving myself of various wants/needs to increase satisfaction
Productive Idling|Always have something productive to do during idle times
For LaTeX|Pros and cons of using LaTeX vs. Microsoft Word, ideas on how to increase its prevalence
Safer Driving|Rules, data, biases, behaviors
Pro-Natalists vs. Pets|Fur babies must be stopped for the future of our regular babies
Becoming Famous for Others|Using influence to support causes
Using Movies to Teach|Low-cost integration of valuable lessons into movies
Checking Dunbar|Finding Dunbar's number, variations, increases
Cheating|Why cheating occurs and prevention methods
Confidence Scores for Exam Questions|Guessing correctly doesn't necessarily indicate knowledge
Clothing I: Choices for Overlooked Purposes|Being boring, obvious, and weird can pay dividends
Making Work More Enjoyable|Philosophy of work and how to make it more fun
Making Driving Enjoyable|Why driving isn't fun and how to lessen that
Time Optimization|Practical ideas for improving use of time
Shortform|Random thoughts
Regret|My ongoing relationship with regret and how to reduce its future impact
Drogo's Follies|Giovanni Drogo's mistakes, lessons learned, and suggestions on prevention
Reflections on Sermons|Asking, pondering, and answering difficult questions
Nostalgia I: Seeing Ghosts|Memories conjure up ghosts in distant places
Nostalgia II: Good Ol' Days|Recognition of reality can reduce future heartache
Death I: Loss|Experiences and lessons after my father's sudden and unexpected death
Death II: One Year Fatherless|Reflections one year after my father's death
Death III: Stories|Stories of me and my father
Death IV: Friends|Is losing a friend the same as them dying?
My American Dream Is Choosing Where to Live|Freedom is everything
Apathy About Incompetence Isn't Endearing|Try harder or explain otherwise
Roommates|Why they're an all-around great idea
Death of the American Shopping Scene|A look at the current state of American shopping culture
In Praise of Libraries|All the good public libraries have to offer
Writing Styles|Some are ugly and fleeting, others aesthetic and timeless
Reflections on MilleniaThinker|Video-by-video thoughts and reviews
6pm in the Subfab|Working long hours and what it means for some
Life in a Bubble|Experiences living in my own societal bubble
COVID I|Experiences and reflections on the infamous pandemic
Life-Changing Sentences|The right words at the right time can make all the difference, for better or worse
Mentorship|Suggestions on being a good mentor in a work setting
One-on-Ones|Experiences and suggestions on conducting 1:1 meetings with a partner
Thesis Lessons|Lessons learned while researching and writing an undergraduate thesis
Workplace Reflections|Thoughts on working at a university laboratory for 2.5 years
Thankful|Running list of reasons I have to be thankful
Semiconductor Fabs I: The Equipment|In-depth look at semiconductor processing equipment
Semiconductor Fabs II: The Operation|In-depth look at semiconductor fab operations
Semiconductor Fabs III: The Data and Automation|In-depth look at semiconductor fab data and automation
Where to Live for Happiness|Literature and personal considerations related to housing
[Blank]-Free Foods|Healthy or not?
Slowing Time|Notes on and suggestions for making time feel slower
Problems with Modern-Day Science|Predators, perishing, peer review, reproducibility
Financial Independence / Retire Early|Motivation, types, methods, investments, lifestyles
Vacuum|Concepts, technologies, pumps, system design
Ion Implantation|Theory, equipment, process, doping alternatives
Stealing Political Signs|Does it help or hurt the thief's cause?
Strange-Face Illusion|Replicating Caputo's work
Nootropics|Blinded experiments in an effort to improve
Orexin Sleep Experiment Initial Results and Notes|Sam Harsimony and niplav as first authors and myself as the third
Predicting iPhone vs. Non-iPhone Users|Can you tell if someone is going to mess up the group chat?
Ads and Gas Pumping Rate|Do gas stations intentionally throttle pumping rates to improve profits?
Heat|Chemistry of spice, developing a tolerance to progressively hotter sauces
Self-Testing|Log of tests I run on myself
Is Reserved Parking Worth It?|Calculations and potential improvements to parking systems
Global Entry Cost-Benefit Analysis|Definitely worth it for flexing, but financially?
Bike Rack Positions Cost-Benefit Analysis|Roof vs. hitch
Is LTC Insurance Worth It?|Insurance, lawyer fees, incident probabilities
Cost of Rideshare Driving|Is it financially-advisable to drive for a ridesharing company?
Links|Links I've read
Life Advice|On health, finance, productivity, career, thinking, environment, and others
Date Ideas|Out-of-the-box ideas for both committed relationships and casual partners
Comfort Zone Expansion for Social Interactions|Theory and varying difficulties of exercises
Exercises to Improve Agency|You can just do things
Quotes|Quotes I like and/or abide by
Penances|Creative punishments for a variety of needs
Predictions|Accountability and improving thinking skills
Things I Will Subsidize|Books, movies, food, drink, and others
Home Ownership|Considerations, projects, information, suggestions
Problem Solving|List of problem-solving techniques
Life Improvements|Items and practices that have improved my life
Puzzles|Fun puzzles and brain teasers
Startup Ideas|Someone please make these a reality
Project Euler/LeetCode Solutions|Notes on and solutions to Project Euler and LeetCode problems
Legendary Mountain Bike Trails|Gone, hidden, or broken, but never forgotten
Midwit Memes|Background and collection of midwit memes
Prominent Pictureless People|Mysterious people who have few to no pictures on the internet
Vibe Images|vibes
Notes I|Papers, posts, ideas, information
Notes II|Economics, medicine, (geo)politics, technology, science
Notes III|Books, podcasts
Notes IV|Electronics
Notes V|Miscellaneous
Spaced Repetition|Brief overview, information examples and suggestions, memorization practice
Sleep: Effects and Hygiene|Information on sleep's importance and hygiene
Book Reviews|List of books I've read
Human Accomplishment|
Endurance: Shackleton's Incredible Voyage|
Film Reviews|Reviews of movies and shows
Restaurant Reviews|Mostly around the Dallas area
Productivity: Technology and Practices|Personal systems and practices for improving productivity
Year/Quarter/Week/Day Review|Reviewing my year, quarter, week, and day
Productivity System Testing|Testing and selectively implementing productivity systems
Eliminating Phone Addiction|Using settings, practices, and principles
Outsource Attention|Memory often fails while technology often succeeds
Training Guide (Outdated)|Principles I train by
Training Links|Media related to training
Training Journal (Outdated)|Current status of and events that happen in my training
Race Reports|List of race reports
Everesting I: Base Camp|Climbing 15,000 ft in a single ride on a single hill
Everesting II: Defeat by Darkness|Hubris and underestimation get the best of me
Everesting III: Success by Support|29,000 ft and 21 hours of riding, resting, and whining
Sleep Deprivation Training for Endurance Athletes|Literature, experiments, solutions
Apnea (Breath Holding)|History, science, training, personal experiments
Weight Loss in Just a Few Hard Steps|'Nothing tastes as good as skinny feels'
Weight Loss Using Small Items|Wielding inconvenience as a weapon against fat
Cutting Sugar|Psychology and elimination of sugar, lessons learned, recommendations
Misconceptions|Common exercise misconceptions explained and debunked
Home Gym|Advantages, equipment, purchasing suggestions, setup
Core Training|Myths, programming, thoughts
Supplementary Exercises|Exercises that can be trained alongside compound strength movements
Training Notes|Notes on training topics
Bikepacking|Detailed notes and thoughts
Bicycle Fit Guide|Saddle selection, positioning, cockpit setup, troubleshooting common issues, and adjustment tracking
Alone vs. Team|Benefits and detriments of solitary and team-based training
Stop Rewarding Beginner Success|Coaches are mistakenly rewarded for easy achievements
(Un)known Finishes|Training with an unknown, but definite, finish
Mind-Numbing Training|Benefits and detriments of training until the mind is numb
The Beauty of Long-Term Athletic Endeavors|Pain and reward are guaranteed, success is not
Gear|Why gear usage should be as barebones as possible
Patience|Take it slow, enjoy the process, and reap the benefits when they finally arrive
Keep It Up|Programming for the long haul
Manna|Progressions, techniques, training plan
Wrist and Ankle Strength|For handbalancing, trail running/walking, and tricking
Front Split|Supplemental stretches, oversplits, progressions
One-Arm Elbow Lever|Technique, progressions, combinations, training plan
LessOnline 2026|Getting AGI-, community-, and priority-pilled in the Bay
Puerto Rico|Expected values, sunk costs, and correlations in the tropics
New York City IV|Walking egregious amounts just to watch people
Taiwan|Shortlisted for Earth's top utopian society
French Riviera|A cycling trip with some social time sprinkled in
Montreal|Squalls, Quebec, green, games
LessOnline 2025|Talking, talking, talking
San Diego|Reuniting with friends, beaches, zoos, and flavors
New York City III|Revelations, confirmations, and reflections
Uganda|Nature is both peaceful and metal, just not at the same time
Orlando|Parties, quality time, and Disney
Iceland|Green and black sprinkled with trust and horses
Boston|American history combined with American food and American prices
Fredericksburg|Embracing my German heritage through copious amounts of wine and beer
Tulum|Eating, tanning, and swimming in the ancient Mayan city
Riding with Death at 50 mph|His whispers sound like gale force winds
Germany|A whole lotta walkin' and a whole lotta talkin' in Deutschland
New York City II|(Dis)connecting with others in the City That Never Sleeps
Europe|Embracing and disguising my Americanism in four countries
Salt Lake City|Climbing Utah's highest peak with an old friend
Vancouver-Seattle|Mountain biking, hiking, and friending in the Pacific Northwest
Mexico City|Food and history in an arborist's and artist's dream city
New York City I|Four late nights fueled by pizza and alcohol
Chicago|Weekend trip to the Windy City
Bucharest|Exploring and eating like a king in the Paris of the East
Rationality Meetup Organizers Retreat|Cult congregation in California
St. Thomas|Beach chillin', water explorin', and drink drinkin' in the USVI
Santa Fe|Shredding the slopes of the historic city
Floating in Nothing|Experience in a sensory deprivation tank
Mount Shasta|Attempting to climb the Cascades' second highest peak
Philadelphia|Exploring the City of Brotherly Love, cheesesteaks, and early American history
Mount Hood|Attempting to climb Oregon's highest peak
Colorado: A Brothers' Trip|Five-day trip to the Breckenridge area
A Long Drag|Running, walking, and finally crawling the 2018 Bataan Memorial Death March
Travel to Cheap Destinations|More bang for the buck often leads to a better time
Travel Notes|Checklist, tips and tricks, reminders, etc.
Travel Map|A map of everywhere I've been
About|Contact info, personal info, website
Now|What I'm currently doing and interested in
Website Praise|Compliments that this website has received
Changelog|Changes to this site and my life
